acl 2.4.0-1
neovim 0.12.4-1
nethack 3.6.7-6
nettle 4.0-1
nftables 1:1.1.6-3
ninja 1.13.2-3
node-gyp 13.0.1-1
nodejs 26.4.0-1
nodejs-nopt 10.0.1-1
npm 11.18.0-1
npth 1.8-1
nspr 4.39-1
nss 3.125-1
numactl 2.0.19-1
oniguruma 6.9.10-1
openbsd-netcat 1.238_1-1
openssh 10.4p1-2
openssl 3.6.3-1
p11-kit 0.26.2-1
pacman 7.1.0.r9.g54d9411-2
pacman-mirrorlist 20260610-1
pam 1.7.2-2
pambase 20260616-1
pango 1:1.58.0-1
pciutils 3.15.0-1
pcre2 10.47-1
perl 5.42.2-1
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.35-1
pinentry 1.3.3-1
pixman 0.46.4-1
polkit 127-3
popt 1.19-2
postgresql 18.4-1
postgresql-libs 18.4-1
procps-ng 4.0.6-3
psmisc 23.7-2
python 3.14.6-1
python-attrs 26.1.0-1
python-cffi 2.1.0-1
python-cli_helpers 2.15.0-1
python-click 8.3.3-1
python-configobj 5.0.9-6
python-cryptography 49.0.0-1
python-filelock 3.29.3-1
python-packaging 26.2-1
python-pgspecial 2.2.1-2
python-pip 26.1.2-1
python-prompt_toolkit 3.0.52-2
python-psycopg 3.3.4-1
python-pycparser 3.00-1
python-pygments 2.20.0-1
python-setproctitle 1.3.7-2
python-sqlparse 0.5.3-2
python-tabulate 0.10.0-1
python-tzlocal 1:5.4.4-1
python-wcwidth 0.8.2-1
python-wheel 0.47.0-1
readline 8.3.003-1
reflector 2023-5
rhash 1.4.6-1
ripgrep 15.1.0-4
ruby 3.4.8-2
ruby-erb 4.0.4-9
ruby-manpages 0.6.1-8
ruby-optimist 3.2.1-1
ruby-paint 2.3.0-6
ruby-rdoc 6.14.0-1
rubygems 3.6.9-1
runc 1.5.0-1
rust 1:1.96.1-1
sed 4.10-1
semver 7.8.5-1
shadow 4.19.4.arch1-1
shared-mime-info 2.5.1-1
simdjson 1:4.6.4-1
sqlite 3.53.3-1
starship 1.26.0-1
startup-notification 0.12-9
sudo 1.9.17.p2-6
systemd 261.1-1
systemd-libs 261.1-1
systemd-sysvcompat 261.1-1
tar 1.35-2
tmux 3.7_b-1
tpm2-tss 4.1.3-1
tree-sitter 0.26.9-1
tree-sitter-c 0.24.1-2
tree-sitter-cli 0.26.9-1
tree-sitter-lua 0.5.0-3
tree-sitter-markdown 0.5.3-2
tree-sitter-query 0.8.0-2
tree-sitter-vim 0.8.1-3
tree-sitter-vimdoc 4.1.0-2
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-common 3.4.0-1
tzdata 2026c-1
unibilium 2.1.2-1
unzip 6.0-23
upower 1.91.3-1
util-linux 2.42.2-1
util-linux-libs 2.42.2-1
uv 0.11.28-1
vim 9.2.0735-1
vim-runtime 9.2.0735-1
wayland 1.25.0-1
websocat 1.14.1-1
which 2.25-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xclip 0.13-6
xkeyboard-config 2.48-1
xorgproto 2025.1-1
xz 5.8.3-1
yazi 26.5.6-4
yyjson 0.12.0-1
zip 3.0-13
zlib 1:1.3.2-3
zlib-ng 2.3.3-1
zstd 1.5.7-3
